card_id,rank_corpus,verbo,verbo_base,tiempo_id,tiempo,regularidad_tarjeta,terminacion,pronominal,patrones,aplicable,yo,tu,el_ella_usted,nosotros,ellos_ellas_ustedes,nota
ser__presente_indicativo,1,ser,ser,presente_indicativo,Presente,irregular,er,no,altamente_irregular,sí,soy,eres,es,somos,son,
ser__preterito,1,ser,ser,preterito,Pretérito,irregular,er,no,altamente_irregular,sí,fui,fuiste,fue,fuimos,fueron,
ser__imperfecto,1,ser,ser,imperfecto,Imperfecto,irregular,er,no,altamente_irregular,sí,era,eras,era,éramos,eran,
ser__futuro,1,ser,ser,futuro,Futuro,regular,er,no,altamente_irregular,sí,seré,serás,será,seremos,serán,
ser__condicional,1,ser,ser,condicional,Condicional,regular,er,no,altamente_irregular,sí,sería,serías,sería,seríamos,serían,
ser__presente_subjuntivo,1,ser,ser,presente_subjuntivo,Presente de subjuntivo,irregular,er,no,altamente_irregular,sí,sea,seas,sea,seamos,sean,
ser__imperfecto_subjuntivo,1,ser,ser,imperfecto_subjuntivo,Imperfecto de subjuntivo,irregular,er,no,altamente_irregular,sí,fuera,fueras,fuera,fuéramos,fueran,
ser__imperativo_afirmativo,1,ser,ser,imperativo_afirmativo,Imperativo afirmativo,irregular,er,no,altamente_irregular,sí,,sé,sea,seamos,sean,
ser__imperativo_negativo,1,ser,ser,imperativo_negativo,Imperativo negativo,irregular,er,no,altamente_irregular,sí,,no seas,no sea,no seamos,no sean,
decir__presente_indicativo,2,decir,decir,presente_indicativo,Presente,irregular,ir,no,e→i;yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,digo,dices,dice,decimos,dicen,
decir__preterito,2,decir,decir,preterito,Pretérito,irregular,ir,no,e→i;yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,dije,dijiste,dijo,dijimos,dijeron,
decir__imperfecto,2,decir,decir,imperfecto,Imperfecto,regular,ir,no,e→i;yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,decía,decías,decía,decíamos,decían,
decir__futuro,2,decir,decir,futuro,Futuro,irregular,ir,no,e→i;yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,diré,dirás,dirá,diremos,dirán,
decir__condicional,2,decir,decir,condicional,Condicional,irregular,ir,no,e→i;yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,diría,dirías,diría,diríamos,dirían,
decir__presente_subjuntivo,2,decir,decir,presente_subjuntivo,Presente de subjuntivo,irregular,ir,no,e→i;yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,diga,digas,diga,digamos,digan,
decir__imperfecto_subjuntivo,2,decir,decir,imperfecto_subjuntivo,Imperfecto de subjuntivo,irregular,ir,no,e→i;yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,dijera,dijeras,dijera,dijéramos,dijeran,
decir__imperativo_afirmativo,2,decir,decir,imperativo_afirmativo,Imperativo afirmativo,irregular,ir,no,e→i;yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,,di,diga,digamos,digan,
decir__imperativo_negativo,2,decir,decir,imperativo_negativo,Imperativo negativo,irregular,ir,no,e→i;yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,,no digas,no diga,no digamos,no digan,
estar__presente_indicativo,3,estar,estar,presente_indicativo,Presente,irregular,ar,no,yo_irregular;pretérito_fuerte,sí,estoy,estás,está,estamos,están,
estar__preterito,3,estar,estar,preterito,Pretérito,irregular,ar,no,yo_irregular;pretérito_fuerte,sí,estuve,estuviste,estuvo,estuvimos,estuvieron,
estar__imperfecto,3,estar,estar,imperfecto,Imperfecto,regular,ar,no,yo_irregular;pretérito_fuerte,sí,estaba,estabas,estaba,estábamos,estaban,
estar__futuro,3,estar,estar,futuro,Futuro,regular,ar,no,yo_irregular;pretérito_fuerte,sí,estaré,estarás,estará,estaremos,estarán,
estar__condicional,3,estar,estar,condicional,Condicional,regular,ar,no,yo_irregular;pretérito_fuerte,sí,estaría,estarías,estaría,estaríamos,estarían,
estar__presente_subjuntivo,3,estar,estar,presente_subjuntivo,Presente de subjuntivo,irregular,ar,no,yo_irregular;pretérito_fuerte,sí,esté,estés,esté,estemos,estén,
